order_id;order_line;order_date;customer_id;product_id;bikeshop_id;quantity
1;1;01/07/2011;2;48;7;1
1;2;01/07/2011;2;52;26;1
2;1;01/10/2011;10;76;17;1
2;2;01/10/2011;10;52;1;1
3;1;01/10/2011;6;2;7;1
3;2;01/10/2011;6;50;2;1
3;3;01/10/2011;6;1;12;1
3;4;01/10/2011;6;4;19;1
3;5;01/10/2011;6;34;4;1
4;1;01/11/2011;22;26;14;1
5;1;01/11/2011;8;96;14;1
5;2;01/11/2011;8;66;27;2
5;3;01/11/2011;8;35;12;1
5;4;01/11/2011;8;72;13;1
6;1;01/11/2011;16;45;5;1
6;2;01/11/2011;16;39;26;1
6;3;01/11/2011;16;87;8;1
6;4;01/11/2011;16;31;1;1
7;1;01/12/2011;9;2;7;1
7;2;01/12/2011;9;15;8;1
7;3;01/12/2011;9;10;1;1
7;4;01/12/2011;9;65;7;1
7;5;01/12/2011;9;87;22;1
7;6;01/12/2011;9;55;2;1
7;7;01/12/2011;9;7;19;1
7;8;01/12/2011;9;67;5;1
7;9;01/12/2011;9;61;24;1
7;10;01/12/2011;9;18;4;2
7;11;01/12/2011;9;96;3;1
7;12;01/12/2011;9;42;14;1
7;13;01/12/2011;9;56;20;1
7;14;01/12/2011;9;93;8;2
8;1;01/12/2011;16;35;9;1
8;2;01/12/2011;16;96;25;3
9;1;1/17/2011;25;29;16;1
9;2;1/17/2011;25;13;27;2
9;3;1/17/2011;25;18;10;1
9;4;1/17/2011;25;16;10;1
9;5;1/17/2011;25;36;5;5
10;1;1/17/2011;20;19;19;1
11;1;1/18/2011;19;11;15;1
11;2;1/18/2011;19;13;10;2
11;3;1/18/2011;19;10;10;1
11;4;1/18/2011;19;39;25;1
11;5;1/18/2011;19;23;1;1
11;6;1/18/2011;19;65;28;1
11;7;1/18/2011;19;43;18;1
12;1;1/20/2011;6;27;21;2
12;2;1/20/2011;6;49;27;1
12;3;1/20/2011;6;67;24;1
12;4;1/20/2011;6;11;7;1
12;5;1/20/2011;6;26;12;1
12;6;1/20/2011;6;39;16;1
12;7;1/20/2011;6;28;19;1
12;8;1/20/2011;6;32;1;1
